work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
2023,Senior Level,Full Time,Data Engineer,81500,USD,81500,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,237000,USD,237000,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,201450,USD,201450,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Computer Vision Engineer,280000,USD,280000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Computer Vision Engineer,210000,USD,210000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Architect,280100,USD,280100,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Architect,168100,USD,168100,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,193500,USD,193500,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,139000,USD,139000,United States,WFH,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Scientist,510000,HKD,65062,Hong Kong,WFO,Hong Kong,Large,Data Scientist
2023,Senior Level,Full Time,Machine Learning Engineer,150000,USD,150000,Portugal,WFH,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Applied Machine Learning Engineer,65000,EUR,69751,India,WFH,Germany,Small,Data Engineer
2022,Entry Level,Full Time,AI Developer,300000,USD,300000,India,Hybrid,India,Large,Data Engineer
2023,Mid Level,Full Time,Machine Learning Engineer,90000,EUR,96578,Netherlands,WFH,Netherlands,Large,Data Engineer
2023,Senior Level,Full Time,Business Intelligence Engineer,185900,USD,185900,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Business Intelligence Engineer,129300,USD,129300,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,225000,USD,225000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,175000,USD,175000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,185000,USD,185000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,140000,USD,140000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,45000,EUR,48289,Spain,WFO,Spain,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,36000,EUR,38631,Spain,WFO,Spain,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,105000,USD,105000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,70000,USD,70000,United States,WFO,United States,Medium,Data Scientist
2023,Entry Level,Full Time,Machine Learning Engineer,163196,USD,163196,United States,WFO,United States,Medium,Data Engineer
2023,Entry Level,Full Time,Machine Learning Engineer,145885,USD,145885,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,217000,USD,217000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,185000,USD,185000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Analyst,202800,USD,202800,United States,WFO,United States,Large,Data Analyst
2023,Senior Level,Full Time,Data Analyst,104300,USD,104300,United States,WFO,United States,Large,Data Analyst
2023,Senior Level,Full Time,Data Analyst,145000,USD,145000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,65000,USD,65000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,165000,USD,165000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,132300,USD,132300,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,179170,USD,179170,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,94300,USD,94300,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Analytics Engineer,152500,USD,152500,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,116450,USD,116450,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,247300,USD,247300,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,133800,USD,133800,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Research Engineer,203000,USD,203000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Research Engineer,133000,USD,133000,United States,WFO,United States,Medium,Data Engineer
2023,Entry Level,Full Time,Research Scientist,220000,USD,220000,United States,Hybrid,United States,Large,Data Scientist
2022,Entry Level,Full Time,Machine Learning Engineer,54000,CHF,56536,Switzerland,WFH,Switzerland,Small,Data Engineer
2023,Senior Level,Full Time,Data Scientist,150000,USD,150000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,120000,USD,120000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Analytics Engineer,289800,USD,289800,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,214000,USD,214000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,179820,USD,179820,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,143860,USD,143860,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Machine Learning Engineer,283200,USD,283200,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,188800,USD,188800,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Analytics Engineer,289800,USD,289800,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,214200,USD,214200,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,185900,USD,185900,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,129300,USD,129300,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,252000,USD,252000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,129000,USD,129000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Analytics Manager,155000,USD,155000,United States,WFO,United States,Medium,Data Analyst
2023,Mid Level,Full Time,Data Analytics Manager,140000,USD,140000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,161800,USD,161800,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,141600,USD,141600,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,342300,USD,342300,United States,WFO,United States,Large,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,176100,USD,176100,United States,WFO,United States,Large,Data Engineer
2023,Mid Level,Full Time,Data Engineer,100000,USD,100000,United States,WFH,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,70000,USD,70000,United States,WFH,United States,Medium,Data Engineer
2023,Entry Level,Full Time,Data Engineer,85000,USD,85000,United States,WFO,United States,Medium,Data Engineer
2023,Entry Level,Full Time,Data Engineer,65000,USD,65000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,138784,USD,138784,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,83270,USD,83270,United States,WFH,United States,Medium,Data Scientist
2023,Entry Level,Full Time,Data Analyst,75000,USD,75000,United States,WFO,United States,Medium,Data Analyst
2023,Entry Level,Full Time,Data Analyst,70000,USD,70000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,204500,USD,204500,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,138900,USD,138900,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Machine Learning Engineer,318300,USD,318300,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,212200,USD,212200,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,95000,USD,95000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,75000,USD,75000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,195000,USD,195000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,160000,USD,160000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Analytics Engineer,230000,USD,230000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,143200,USD,143200,United States,WFO,United States,Medium,Data Analyst
2023,Mid Level,Full Time,Data Engineer,100000,USD,100000,United States,WFH,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,70000,USD,70000,United States,WFH,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Business Data Analyst,105000,USD,105000,United States,Hybrid,United States,Large,Data Analyst
2023,Mid Level,Full Time,Applied Data Scientist,1700000,INR,20670,India,WFH,India,Large,Data Scientist
2023,Mid Level,Full Time,Data Analyst,38000,GBP,46178,United Kingdom,WFO,United Kingdom,Medium,Data Analyst
2023,Mid Level,Full Time,Data Analyst,35000,GBP,42533,United Kingdom,WFO,United Kingdom,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,145000,USD,145000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,115000,USD,115000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Analyst,168400,USD,168400,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,105200,USD,105200,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Applied Scientist,309400,USD,309400,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Applied Scientist,159100,USD,159100,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Machine Learning Engineer,190000,USD,190000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,150000,USD,150000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,162500,USD,162500,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,130000,USD,130000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Analytics Engineer,150000,USD,150000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,120000,USD,120000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,145000,USD,145000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,120000,USD,120000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Applied Scientist,222200,USD,222200,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Applied Scientist,136000,USD,136000,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Analyst,45000,GBP,54685,Central African Republic,WFH,Central African Republic,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,35000,GBP,42533,Central African Republic,WFH,Central African Republic,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,241000,USD,241000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,155000,USD,155000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,220000,USD,220000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,190000,USD,190000,United States,WFH,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Scientist,55000,GBP,66837,United Kingdom,WFO,United Kingdom,Medium,Data Scientist
2023,Mid Level,Full Time,Data Scientist,45000,GBP,54685,United Kingdom,WFO,United Kingdom,Medium,Data Scientist
2020,Executive,Full Time,Staff Data Analyst,15000,USD,15000,Nigeria,WFO,Canada,Medium,Data Analyst
2023,Mid Level,Full Time,ETL Engineer,70000,GBP,85066,United Kingdom,WFH,United Kingdom,Medium,Data Engineer
2023,Mid Level,Full Time,ETL Engineer,47500,GBP,57723,United Kingdom,WFH,United Kingdom,Medium,Data Engineer
2023,Entry Level,Full Time,Data Analyst,85000,USD,85000,United States,WFH,United States,Medium,Data Analyst
2023,Entry Level,Full Time,Data Analyst,75000,USD,75000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,160000,USD,160000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,140000,USD,140000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Machine Learning Engineer,300000,USD,300000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Machine Learning Engineer,250000,USD,250000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,228000,USD,228000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,186000,USD,186000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,190000,USD,190000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,170000,USD,170000,United States,WFO,United States,Medium,Data Scientist
2023,Mid Level,Full Time,Research Engineer,230000,USD,230000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Research Engineer,200000,USD,200000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Architect,180000,USD,180000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Architect,115000,USD,115000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Architect,200000,USD,200000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Architect,115000,USD,115000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data DevOps Engineer,50000,EUR,53654,France,Hybrid,France,Small,Data Engineer
2023,Executive,Full Time,Data Engineer,220000,USD,220000,United States,WFO,United States,Medium,Data Engineer
2023,Executive,Full Time,Data Engineer,205000,USD,205000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,180000,USD,180000,United States,WFO,United States,Medium,Data Engineer
2023,Mid Level,Full Time,Data Engineer,130000,USD,130000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,200000,USD,200000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,150000,USD,150000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Computer Vision Engineer,215000,USD,215000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Computer Vision Engineer,170000,USD,170000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,247500,USD,247500,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Machine Learning Engineer,172200,USD,172200,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,224000,USD,224000,Canada,WFO,Canada,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,176000,USD,176000,Canada,WFO,Canada,Medium,Data Scientist
2023,Senior Level,Full Time,Data Analyst,120000,USD,120000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,75000,USD,75000,United States,WFH,United States,Medium,Data Analyst
2023,Entry Level,Full Time,Data Engineer,1400000,INR,17022,India,WFH,India,Large,Data Engineer
2023,Senior Level,Full Time,Applied Data Scientist,100000,AUD,68318,Australia,WFH,Finland,Medium,Data Scientist
2023,Mid Level,Full Time,AI Developer,100000,SGD,75020,Finland,WFO,Finland,Medium,Data Engineer
2023,Senior Level,Full Time,Data Analyst,140000,USD,140000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,120000,USD,120000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,128000,USD,128000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,81500,USD,81500,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,145000,USD,145000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,115000,USD,115000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,185000,USD,185000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,140000,USD,140000,United States,WFO,United States,Medium,Data Engineer
2023,Executive,Full Time,Head of Data,329500,USD,329500,United States,WFO,United States,Medium,Data Engineer
2023,Executive,Full Time,Head of Data,269600,USD,269600,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Quality Analyst,100000,USD,100000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Quality Analyst,80000,USD,80000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Scientist,250000,USD,250000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,162500,USD,162500,United States,WFO,United States,Medium,Data Scientist
2023,Mid Level,Full Time,AI Developer,200000,USD,200000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,145000,USD,145000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,100000,USD,100000,United States,WFO,United States,Medium,Data Engineer
2023,Executive,Full Time,Data Engineer,145000,USD,145000,United States,WFO,United States,Medium,Data Engineer
2023,Executive,Full Time,Data Engineer,115000,USD,115000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,203500,USD,203500,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,152000,USD,152000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,239000,USD,239000,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Scientist,122900,USD,122900,United States,WFO,United States,Large,Data Scientist
2023,Senior Level,Full Time,Data Scientist,237000,USD,237000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,145000,USD,145000,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Science Manager,191765,USD,191765,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Science Manager,134236,USD,134236,United States,WFO,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Analytics Engineer,190000,USD,190000,United States,WFH,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Analytics Engineer,112000,USD,112000,United States,WFH,United States,Medium,Data Analyst
2022,Senior Level,Full Time,Data Scientist,84000,EUR,88256,Spain,WFH,United Kingdom,Large,Data Scientist
2023,Entry Level,Full Time,Data Engineer,85000,USD,85000,United States,WFO,United States,Medium,Data Engineer
2023,Entry Level,Full Time,Data Engineer,65000,USD,65000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Analyst,135000,USD,135000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,105500,USD,105500,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Research Engineer,293000,USD,293000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Research Engineer,185000,USD,185000,United States,WFO,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Analyst,80000,USD,80000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,70000,USD,70000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Engineer,220000,USD,220000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Engineer,160000,USD,160000,United States,WFH,United States,Medium,Data Engineer
2023,Senior Level,Full Time,Data Scientist,175000,USD,175000,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Scientist,145000,USD,145000,United States,WFH,United States,Medium,Data Scientist
2023,Senior Level,Full Time,Data Analyst,200000,USD,200000,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Analyst,148500,USD,148500,United States,WFO,United States,Medium,Data Analyst
2023,Senior Level,Full Time,Data Scientist,45000,EUR,48289,Spain,WFO,Spain,Medium,Data Scientist
